v19,gt,0.5x-pr,a05,b05,c05,d05,e05,f05,g05,h05,i05,j05,k05
1.0,v18,v18,v1,v18,v1,v14,v1,v1,v1,v1,v1,v18,v18
2.0,v1,v14,v18,v1,v18,v18,v18,v3,v7,v18,v18,v14,v14
3.0,v14,v16,v7,v14,v3,v16,v14,v18,v18,v14,v7,v1,v8
4.0,v7,v17,v3,v3,v14,v2,v7,v14,v14,v7,v14,v2,v15
5.0,v4,v15,v14,v7,v7,v15,v3,v7,v4,v3,v3,v3,v17
6.0,v5,v8,v4,v8,v4,v3,v4,v2,v2,v4,v4,v7,v13
7.0,v12,v13,v5,v13,v5,v1,v9,v4,v3,v5,v5,v9,v5
8.0,v3,v4,v12,v2,v12,v8,v8,v5,v9,v9,v12,v16,v12
9.0,v9,v1,v9,v9,v9,v9,v5,v12,v5,v12,v9,v15,v10
10.0,v8,v5,v8,v6,v11,v12,v12,v9,v12,v8,v2,v8,v6
11.0,v13,v6,v11,v16,v15,v13,v13,v15,v15,v15,v15,v5,v11
12.0,v11,v7,v10,v15,v10,v6,v15,v8,v8,v11,v11,v4,v7
13.0,v10,v12,v2,v11,v8,v7,v11,v11,v11,v13,v8,v13,v16
14.0,v15,v11,v6,v12,v2,v11,v10,v10,v13,v10,v10,v12,v1
15.0,v16,v10,v13,v10,v6,v10,v6,v6,v10,v6,v13,v10,v9
16.0,v6,v2,v17,v17,v17,v4,v2,v16,v17,v2,v6,v6,v2
17.0,v17,v9,v15,v5,v16,v5,v16,v13,v6,v16,v16,v17,v4
18.0,v2,v3,v16,v4,v13,v17,v17,v17,v16,v17,v17,v11,v3
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
