v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v8,v6,v2,v2,v2,v21,v2,v2,v4,v16,v2
2.0,v15,v10,v5,v4,v4,v7,v15,v7,v4,v2,v15,v4
3.0,v7,v12,v7,v8,v13,v4,v17,v13,v13,v13,v21,v16
4.0,v4,v14,v4,v5,v7,v8,v18,v4,v9,v3,v2,v13
5.0,v21,v2,v8,v15,v6,v9,v8,v9,v5,v12,v9,v12
6.0,v5,v7,v10,v13,v3,v15,v16,v3,v3,v9,v5,v3
7.0,v12,v6,v14,v14,v9,v13,v14,v12,v12,v16,v12,v9
8.0,v13,v4,v9,v21,v15,v3,v4,v11,v7,v7,v17,v15
9.0,v9,v11,v2,v3,v5,v14,v2,v5,v15,v15,v13,v21
10.0,v8,v13,v15,v9,v12,v21,v5,v10,v16,v5,v6,v5
11.0,v14,v21,v21,v12,v11,v12,v6,v18,v11,v11,v18,v6
12.0,v11,v9,v12,v6,v18,v10,v7,v6,v21,v6,v7,v7
13.0,v10,v5,v13,v11,v10,v6,v9,v21,v14,v10,v3,v17
14.0,v16,v3,v18,v10,v17,v5,v10,v8,v8,v21,v11,v18
15.0,v17,v15,v3,v17,v8,v18,v11,v16,v18,v17,v8,v10
16.0,v6,v18,v17,v7,v21,v17,v3,v15,v10,v18,v4,v11
17.0,v18,v17,v11,v18,v16,v16,v12,v14,v17,v14,v14,v14
18.0,v3,v16,v16,v16,v14,v11,v13,v17,v6,v8,v10,v8
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
